Incident_Title,Incident_Link,Incident_color,Incident_Impact,Updates,Service
Increased queue wait times for GPT-3.5-Turbo fine-tuning jobs,https://status.openai.com/incidents/zm9ssldbs7ds,#f4ac36,impact-minor,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 6 months ago. Feb 29, 2024 - 20:13 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""The queue length is settling and wait times for new jobs are dropping, we expect the queue to empty later this evening."", ""Update_Timestamp"": ""Posted 6 months ago. Feb 29, 2024 - 18:16 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to work on a fix for this issue."", ""Update_Timestamp"": ""Posted 6 months ago. Feb 29, 2024 - 12:43 PST""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""We are seeing a spike in demand for 3.5 turbo fine-tuning after the release of gpt-3.5-turbo-125 fine-tuning support yesterday. Jobs are being processed normally but there is roughly a two hour delay between job creation and when training begins."", ""Update_Timestamp"": ""Posted 6 months ago. Feb 29, 2024 - 12:41 PST""}]",This incident affected: API.
Increased latency and errors affecting both ChatGPT and APIs,https://status.openai.com/incidents/zqfdnfbd0nqv,#050505,impact-none,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 6 months ago. Feb 28, 2024 - 08:29 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to monitor for any further issues."", ""Update_Timestamp"": ""Posted 6 months ago. Feb 28, 2024 - 08:29 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 6 months ago. Feb 28, 2024 - 07:46 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are investigating increased latency and errors affecting both ChatGPT and APIs."", ""Update_Timestamp"": ""Posted 6 months ago. Feb 28, 2024 - 06:47 PST""}]","This incident affected: ChatGPT, Labs, and Playground."
ChatGPT error rate,https://status.openai.com/incidents/nw3b5rvn86ff,#f4ac36,impact-minor,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 6 months ago. Feb 23, 2024 - 11:02 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 6 months ago. Feb 23, 2024 - 10:42 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""ChatGPT is experiencing an elevated error rate."", ""Update_Timestamp"": ""Posted 6 months ago. Feb 23, 2024 - 10:32 PST""}]",This incident affected: ChatGPT.
Unexpected responses from ChatGPT,https://status.openai.com/incidents/ssg8fh7sfyz3,#f4ac36,impact-minor,"[{""Update_Title"": ""Postmortem"", ""Update_Body"": ""On February 20, 2024, an optimization to the user experience introduced a bug with how the model processes language.\nLLMs generate responses by randomly sampling words based in part on probabilities. Their \u201clanguage\u201d consists of numbers that map to tokens.\nIn this case, the bug was in the step where the model chooses these numbers. Akin to being lost in translation, the model chose slightly wrong numbers, which produced word sequences that made no sense. More technically, inference kernels produced incorrect results when used in certain GPU configurations.\nUpon identifying the cause of this incident, we rolled out a fix and confirmed that the incident was resolved."", ""Update_Timestamp"": ""Posted 6 months ago. Feb 21, 2024 - 17:03 PST""}, {""Update_Title"": ""Resolved"", ""Update_Body"": ""ChatGPT is operating normally."", ""Update_Timestamp"": ""Posted 6 months ago. Feb 20, 2024 - 23:14 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""We're continuing to monitor the situation."", ""Update_Timestamp"": ""Posted 6 months ago. Feb 20, 2024 - 16:59 PST""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""The issue has been identified and is being remediated now."", ""Update_Timestamp"": ""Posted 6 months ago. Feb 20, 2024 - 15:47 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are investigating reports of unexpected responses from ChatGPT."", ""Update_Timestamp"": ""Posted 6 months ago. Feb 20, 2024 - 15:40 PST""}]",This incident affected: ChatGPT.
Elevated error rate impacting ChatGPT (including logins),https://status.openai.com/incidents/34lnbv1gvd2p,#e86c09,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 14, 2024 - 12:40 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 14, 2024 - 10:38 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are continuing to investigate this issue."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 14, 2024 - 10:20 PST""}]",This incident affected: ChatGPT.
Elevated error rate impacting API services (including Assistants and Fine-tuning),https://status.openai.com/incidents/62wkltqhbrmk,#e86c09,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 14, 2024 - 12:40 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 14, 2024 - 10:38 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to investigate this issue."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 14, 2024 - 07:08 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 14, 2024 - 07:06 PST""}]",This incident affected: API.
Elevated errors on GPT-4V for ChatGPT and API,https://status.openai.com/incidents/70p519qgngrw,#e86c09,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 14, 2024 - 12:40 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 14, 2024 - 10:39 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""The team is monitoring error rates closely, and we are continuing to work on a fix for this issue."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 13, 2024 - 08:30 PST""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""The issue has been identified and a fix is being implemented."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 13, 2024 - 07:36 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 13, 2024 - 07:03 PST""}]",This incident affected: API and ChatGPT.
Elevated error rate impacting ChatGPT (including logins),https://status.openai.com/incidents/gln4g8d46s2b,#e86c09,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""chat.openai.com was not accessible between 8:47am - 9:28am PST / 4:47pm - 5.28pm UTC. We have deployed a fix and the website is now accessible."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 14, 2024 - 09:45 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 14, 2024 - 08:11 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to monitor for any further issues."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 14, 2024 - 08:10 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 14, 2024 - 08:09 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to investigate this issue."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 14, 2024 - 07:08 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 14, 2024 - 07:03 PST""}]",This incident affected: ChatGPT.
Elevated errors across multiple API endpoints and ChatGPT,https://status.openai.com/incidents/mswp9vt22gm2,#e86c09,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 13, 2024 - 15:38 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented, and we are monitoring the results."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 13, 2024 - 13:46 PST""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""We have identified this issue and a fix is being implemented."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 13, 2024 - 12:38 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 13, 2024 - 12:11 PST""}]",This incident affected: API and ChatGPT.
Elevated errors on GPT-4V for ChatGPT and API,https://status.openai.com/incidents/shqybftjc7mc,#f4ac36,impact-minor,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 12, 2024 - 10:39 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to monitor for any further issues."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 12, 2024 - 10:19 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 12, 2024 - 10:19 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to work on a fix for this issue."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 12, 2024 - 09:19 PST""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 7 months ago. Feb 12, 2024 - 09:19 PST""}]",This incident affected: API and ChatGPT.
