Incident_Title,Incident_Link,Incident_color,Incident_Impact,Updates,Service
Outage on DALL·E API and text-davinci-003,https://status.openai.com/incidents/7wrs0psqdl15,#ef4146,impact-critical,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 28, 2023 - 18:18 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 28, 2023 - 18:14 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""Text-davinci-003 functionality has returned to normal levels. Investigations continue for the DALL\u00b7E API"", ""Update_Timestamp"": ""Posted 2 years ago. Feb 28, 2023 - 17:45 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to investigate this issue."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 28, 2023 - 17:17 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 28, 2023 - 17:00 PST""}]",This incident affected: API.
ChatGPT outage,https://status.openai.com/incidents/g8qdfl279sqz,#ef4146,impact-critical,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 27, 2023 - 10:30 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We have re-enabled free customers on ChatGPT and things look operational. We continue to monitor closely for degradations"", ""Update_Timestamp"": ""Posted 2 years ago. Feb 27, 2023 - 10:21 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 27, 2023 - 10:04 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""ChatGPT is now available for paying customers. We will continue to investigate and work to bring back the ChatGPT service to all users."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 27, 2023 - 09:43 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are still seeing database instabilities. We have restored partial traffic to the site; however, we are still seeing many people having trouble access the site. Our team is continuing to actively investigate the issue."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 27, 2023 - 09:26 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""In order to more promptly restore service we are performing database maintenance that systematically affects the entire service."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 27, 2023 - 09:08 PST""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""We\u2019re continuing to see instabilities with the database and are actively working on remediations."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 27, 2023 - 09:07 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""Traffic for ChatGPT is beginning to improve after initial fixes have been implemented."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 27, 2023 - 07:40 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""ChatGPT is unavailable"", ""Update_Timestamp"": ""Posted 2 years ago. Feb 27, 2023 - 07:00 PST""}]",This incident affected: ChatGPT.
Outage on labs.openai.com,https://status.openai.com/incidents/cdm6pqjp69p7,#e86c09,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 24, 2023 - 09:51 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 24, 2023 - 09:42 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 24, 2023 - 09:20 PST""}]",This incident affected: Labs.
Outage on labs.openai.com,https://status.openai.com/incidents/shyt3d6r9xgb,#e86c09,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 24, 2023 - 08:46 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 24, 2023 - 08:43 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 24, 2023 - 07:50 PST""}]",This incident affected: Labs.
Outage on multiple models,https://status.openai.com/incidents/s29fb94kx5q7,#e86c09,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 23, 2023 - 14:58 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""A fix has been implemented and we are monitoring the results."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 23, 2023 - 13:16 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We have identified and are implementing solutions to resolve. API traffic continues to return to normal levels, while ChatGPT is experiencing degraded performance."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 23, 2023 - 12:40 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 23, 2023 - 12:07 PST""}]",This incident affected: API and ChatGPT.
Partial Outage for Edit and Variation functionality on the Images API and OpenAI Labs (DALL·E User interface),https://status.openai.com/incidents/7t1xsrrk259t,#e86c09,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""It was determined that the outage was caused by an external dependency in our content moderation service, and has now been resolved."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 22, 2023 - 12:14 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to investigate the issue."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 22, 2023 - 12:00 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating this issue."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 22, 2023 - 11:01 PST""}]",This incident affected: API and Labs.
Outage on text-embedding-ada-002,https://status.openai.com/incidents/sncytbfx8wb7,#e86c09,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 22, 2023 - 07:51 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""We have investigated the issue, deployed a a fix, and are monitoring the text-embedding-ada-002 model."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 22, 2023 - 07:29 PST""}]",This incident affected: API.
OpenAI Labs (DALL·E User interface) and Some API Endpoint Degradation,https://status.openai.com/incidents/vzrthmy2shh7,#e86c09,impact-major,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 21, 2023 - 13:53 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""OpenAI systems continue to show signs of improvement after initial fixes have been put in place. We will continue to monitor the situation closely as we explore additional solutions to address the cause of the recent service disruption."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 21, 2023 - 13:43 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""Performance has returned to normal levels and we will continue to monitor."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 21, 2023 - 11:35 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""Performance across OpenAI services is degraded and latency may be experienced as we continue the investigation."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 21, 2023 - 11:21 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to work on a fix for this issue."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 21, 2023 - 11:01 PST""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""We have identified an additional issue and are continuing to investigate."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 21, 2023 - 10:56 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""Performance is returning to normal levels and we will continue to monitor."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 21, 2023 - 09:25 PST""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""We are additionally seeing degraded performance for new logins. This, combined with model listing, and some fine-tuning operations, appear to be related to ongoing database instabilities affecting some routes."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 21, 2023 - 07:57 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to investigate this issue."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 21, 2023 - 07:25 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are continuing to investigate issues with DALL\u00b7E's web interface (labs.openai.com)\n\nAll models on /completions APIs, as well as ChatGPT appear to be operating normally\n\n/v1/models and /v1/fine-tunes appear to have degraded performance. This is causing a degraded experience in the Playground as well."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 21, 2023 - 07:25 PST""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""Requests to platform and labs are slow to complete and occasionally throwing errors, we are continuing to investigate."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 21, 2023 - 04:22 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are investigating both the labs and playground sites due to reported errors."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 21, 2023 - 04:19 PST""}]","This incident affected: API, ChatGPT, Labs, and Playground."
Outage on all models,https://status.openai.com/incidents/mq5jgswy45fr,#ef4146,impact-critical,"[{""Update_Title"": ""Postmortem"", ""Update_Body"": ""Starting at 11:15pm PST on Feb 20, 2023 we suffered a major outage across all endpoints and models of our service. /v1/completions traffic was restored by 2:05 am PST on Feb 21. Ongoing database instabilities left some non Completions services degraded until 1:30pm PST on Feb 21. The root cause was an unexpected database failure with compounding effects delaying full recovery.\nOur primary Postgres database was scheduled for a routine automated maintenance by our cloud provider. During this window, no impact was expected because the primary would fail over to a hot standby to continue to serve traffic. This ran as expected. However, additional \""read replica\"" databases were also scheduled for maintenance in the same time window but had no corresponding fail-over functionality. The read replicas unexpectedly failed to come back after their maintenance window. The result was that we were able to keep parts of the site up and running, but not enough database capacity to service all traffic.\nEngineers immediately started two streams of work. One was to create new read replicas. The other was to rebalance the available database connections towards the most critical API endpoints. Completions and authentication traffic were prioritized. This brought back traffic to the main /v1/completions endpoints by 2:05 am PT on Feb 21. The length was compounded by existing read replicas unexpectedly getting stuck in a recovery loop and being unable to reconnect to the primary database. This was additionally compounded by delays incurred spinning up new replicas due to unexpected dependencies from non-on-call staff in the middle of the night on a holiday weekend and during a holiday Monday on-call shift change.\nThroughout the night we continued to see database instabilities; however, isolation procedures were able to keep /v1/completions online. Unfortunately due the volume of ChatGPT and Dall-E these products remained degraded due to database instabilities.\nWe use PgBouncer to pool database connections; unfortunately in the post-recovery database configuration we identified previously unknown slow queries hogging the pools, preventing other queries to run. Database instabilities were further frustrated by new read replicas inadvertently bypassing PGBouncer and exceeding database connection limits. This caused an additional brief outage from 10:43 am to 11:04 am PT.\nBy 1:30pm read replicas were fully online and ChatGPT and DALL\u00b7E returned to a fully operational status.\nWe are immediately executing on several action items as a result of this outage:\nWe are working with our cloud provider to be better prepared for how future maintenance will affect read replicas to minimize impact.\nWhenever possible, we will adjust maintenance windows to occur during normal working hours so more staff is readily available\nWe are adjusting caches to persist with longer TTLs if the database is unavailable, allowing some critical endpoints to continue functioning for longer.\nPgBouncer configuration is being tuned to account for slow queries\nWe are moving our on-call rotation to Tuesdays to avoid scheduling confusion of 3-day-weekend holidays.\nWe are reviewing our on-call access policies and escalation channels to ensure that on-call has knowledge and access to all necessary dependencies to remediate an outage\nLonger term, we are reviewing our overall database strategy and planning towards solutions that are more resilient to individual server failures."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 23, 2023 - 16:41 PST""}, {""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 21, 2023 - 04:09 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""Service to ChatGPT has now been restored.  There are still low but elevated error rates across some of our model completion endpoints that we are addressing now."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 21, 2023 - 04:03 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""Models and playground are available again, and we will continue to monitor.  ChatGPT is continuing to have issues that we are investigating."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 21, 2023 - 03:06 PST""}, {""Update_Title"": ""Monitoring"", ""Update_Body"": ""Service is now beginning to recover, we are continuing to monitor."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 21, 2023 - 02:04 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to work to resolve the underlying issue, and are investigating alternatives to recover service faster."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 21, 2023 - 01:55 PST""}, {""Update_Title"": ""Update"", ""Update_Body"": ""We are continuing to work on recovering services."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 21, 2023 - 00:52 PST""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""We have identified the root cause and are working to recover service."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 20, 2023 - 23:59 PST""}, {""Update_Title"": ""Investigating"", ""Update_Body"": ""We are currently investigating an outage affecting all models, including ChatGPT and Playground, beginning around 11:05 pm Pacific."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 20, 2023 - 23:40 PST""}]","This incident affected: API, ChatGPT, and Playground."
Fine tune jobs are taking longer to run than usual,https://status.openai.com/incidents/bfgtmq5gqlx5,#f4ac36,impact-minor,"[{""Update_Title"": ""Resolved"", ""Update_Body"": ""This incident has been resolved."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 16, 2023 - 17:32 PST""}, {""Update_Title"": ""Identified"", ""Update_Body"": ""We've identified an issue affecting fine-tuning jobs. We are working on a resolution."", ""Update_Timestamp"": ""Posted 2 years ago. Feb 16, 2023 - 17:02 PST""}]",This incident affected: API.
